bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
14.0,67.1,998.6,229.0,0.683598,2.34967,158.944,546.325,705.269,232.512,2024-02-06 23:59:28.320662,1707263968.320662
13.8,68.1,998.7,228.1,0.665079,2.30213,154.228,533.849,688.076,231.894,2024-02-06 23:58:56.602010,1707263936.60201
13.9,68.0,998.8,228.0,0.690716,2.30962,159.704,534.02,693.724,231.216,2024-02-06 23:58:24.915759,1707263904.915759
14.1,67.0,998.7,228.4,0.645197,2.3172,149.591,537.251,686.842,231.853,2024-02-06 23:57:53.362813,1707263873.362813
14.1,66.9,998.5,230.2,0.655521,2.3331,152.477,542.689,695.165,232.604,2024-02-06 23:57:21.756100,1707263841.7561
14.0,67.8,998.6,229.0,0.710402,2.31186,164.787,536.267,701.054,231.963,2024-02-06 23:56:50.093159,1707263810.093159
13.9,68.1,998.6,229.2,0.655207,2.31206,151.589,534.919,686.508,231.36,2024-02-06 23:56:18.479869,1707263778.479869
13.9,67.6,998.6,229.0,0.252969,1.9269,58.5078,445.662,504.17,231.284,2024-02-06 23:55:46.697953,1707263746.697953
14.0,67.2,998.7,228.6,0.665909,2.33155,153.619,537.867,691.486,230.691,2024-02-06 23:55:15.089139,1707263715.089139
14.0,67.4,998.6,229.0,0.66696,2.30718,154.104,533.081,687.185,231.054,2024-02-06 23:54:43.373550,1707263683.37355
14.0,67.5,998.6,229.1,0.649903,2.30348,150.232,532.475,682.707,231.161,2024-02-06 23:54:11.678328,1707263651.678328
14.2,66.9,998.7,228.2,0.639165,2.26735,147.849,524.473,672.322,231.316,2024-02-06 23:53:40.030761,1707263620.030761
14.2,66.8,998.7,228.2,0.651209,2.30614,150.988,534.698,685.686,231.858,2024-02-06 23:53:08.377975,1707263588.377975
14.1,67.1,998.6,229.4,0.68183,2.30264,158.158,534.121,692.279,231.961,2024-02-06 23:52:36.642640,1707263556.64264
14.0,67.5,998.6,229.0,0.678186,2.28345,157.159,529.154,686.314,231.735,2024-02-06 23:52:04.915939,1707263524.915939
14.0,67.1,998.6,229.0,0.660906,2.27883,153.22,528.308,681.528,231.833,2024-02-06 23:51:33.345719,1707263493.345719
14.0,67.3,998.6,229.2,0.653539,2.27938,151.546,528.556,680.102,231.886,2024-02-06 23:51:01.706566,1707263461.706566
14.0,67.3,998.6,229.2,0.64512,2.28163,149.569,528.988,678.557,231.846,2024-02-06 23:50:30.076980,1707263430.07698
14.1,66.9,998.6,229.5,0.673957,2.28063,155.959,527.758,683.717,231.409,2024-02-06 23:49:58.426920,1707263398.42692
14.1,67.3,998.8,227.4,0.696162,2.27516,161.12,526.563,687.684,231.44,2024-02-06 23:49:26.389408,1707263366.389408
14.0,67.5,998.7,228.3,0.634224,2.25294,146.563,520.632,667.195,231.091,2024-02-06 23:48:54.759378,1707263334.759378
14.0,67.4,998.6,229.2,0.651259,2.29374,150.008,528.328,678.336,230.335,2024-02-06 23:48:23.117710,1707263303.11771
14.0,67.7,998.7,228.3,0.642705,2.27628,147.844,523.622,671.466,230.034,2024-02-06 23:47:51.489897,1707263271.489897
13.8,67.6,998.6,229.1,0.660337,2.25972,152.191,520.806,672.996,230.474,2024-02-06 23:47:19.818662,1707263239.818662
14.0,66.9,998.7,228.9,0.641886,2.2825,148.703,528.778,677.482,231.666,2024-02-06 23:46:48.173198,1707263208.173198
14.1,67.0,998.7,228.6,0.667381,2.29751,154.38,531.465,685.845,231.322,2024-02-06 23:46:16.457037,1707263176.457037
14.0,67.2,998.8,228.0,0.657865,2.26131,151.299,520.067,671.366,229.985,2024-02-06 23:45:44.820619,1707263144.820619
14.0,67.2,998.7,228.3,0.643079,2.24318,148.222,517.024,665.246,230.488,2024-02-06 23:45:13.320558,1707263113.320558
13.8,67.3,998.6,229.2,0.660314,2.26184,152.334,521.803,674.137,230.699,2024-02-06 23:44:41.643452,1707263081.643452
13.9,67.0,998.8,227.4,0.690086,2.26263,158.961,521.197,680.159,230.35,2024-02-06 23:44:09.975900,1707263049.9759
14.0,67.2,998.7,228.5,0.681314,2.28659,156.645,525.722,682.366,229.915,2024-02-06 23:43:38.314755,1707263018.314755
14.1,66.6,998.7,228.7,0.648932,2.245,149.299,516.504,665.804,230.069,2024-02-06 23:43:06.353637,1707262986.353637
14.0,66.9,998.6,229.4,0.650858,2.25266,151.086,522.919,674.005,232.133,2024-02-06 23:42:34.865408,1707262954.865408
14.0,66.9,998.7,228.7,0.689508,2.26438,159.846,524.944,684.791,231.827,2024-02-06 23:42:03.129084,1707262923.129084
14.0,66.9,998.7,228.3,0.669217,2.26865,154.708,524.462,679.17,231.178,2024-02-06 23:41:31.490693,1707262891.490693
14.1,67.1,998.7,228.5,0.649437,2.2386,150.256,517.929,668.185,231.363,2024-02-06 23:40:59.924927,1707262859.924927
14.0,67.3,998.7,228.1,0.655266,2.24793,151.707,520.442,672.149,231.52,2024-02-06 23:40:28.228606,1707262828.228606
13.9,68.1,998.7,228.4,0.684258,2.29061,158.767,531.484,690.251,232.028,2024-02-06 23:39:56.394101,1707262796.394101
13.9,67.6,998.8,227.9,0.690171,2.25285,160.677,524.48,685.157,232.808,2024-02-06 23:39:24.730430,1707262764.73043
14.0,66.9,998.7,228.1,0.657148,2.26813,152.988,528.032,681.02,232.805,2024-02-06 23:38:53.098485,1707262733.098485
14.1,66.5,998.7,228.2,0.639661,2.27599,148.764,529.321,678.085,232.567,2024-02-06 23:38:21.384009,1707262701.384009
14.2,66.8,998.7,228.1,0.663305,2.24638,154.451,523.069,677.52,232.85,2024-02-06 23:37:49.753745,1707262669.753745
14.1,66.9,998.8,227.7,0.641743,2.27258,148.463,525.746,674.209,231.343,2024-02-06 23:37:18.105515,1707262638.105515
14.1,66.9,998.7,228.2,0.694808,2.26188,160.585,522.77,683.355,231.122,2024-02-06 23:36:46.351625,1707262606.351625
14.1,67.0,998.8,228.0,0.648276,2.25227,149.792,520.412,670.204,231.062,2024-02-06 23:36:14.630414,1707262574.630414
14.0,67.7,998.8,227.9,0.677678,2.25381,156.577,520.741,677.319,231.05,2024-02-06 23:35:42.937128,1707262542.937128
13.9,67.6,998.8,227.6,0.708031,2.24836,163.247,518.393,681.64,230.565,2024-02-06 23:35:11.352063,1707262511.352063
14.0,66.5,998.7,228.1,0.694864,2.29149,160.973,530.849,691.822,231.661,2024-02-06 23:34:39.779128,1707262479.779128
13.9,66.9,998.8,227.8,0.700087,2.27997,163.283,531.763,695.046,233.232,2024-02-06 23:34:08.137955,1707262448.137955
14.0,66.8,998.7,228.2,0.646701,2.30398,150.504,536.197,686.701,232.726,2024-02-06 23:33:36.505524,1707262416.505524
14.1,66.8,998.8,227.6,0.675311,2.26044,156.339,523.308,679.648,231.507,2024-02-06 23:33:04.777095,1707262384.777095
14.0,66.8,998.7,228.5,0.686572,2.28701,159.198,530.298,689.497,231.874,2024-02-06 23:32:33.122410,1707262353.12241
14.1,66.7,998.8,227.6,0.638214,2.27804,148.033,528.388,676.421,231.949,2024-02-06 23:32:01.459163,1707262321.459163
14.0,66.7,998.8,227.8,0.645817,2.26636,149.617,525.047,674.664,231.67,2024-02-06 23:31:29.829076,1707262289.829076
14.1,66.6,998.7,228.2,0.645935,2.26634,149.809,525.622,675.431,231.925,2024-02-06 23:30:58.182327,1707262258.182327
14.2,66.2,998.8,227.3,0.30491,1.89017,70.6596,438.026,508.685,231.739,2024-02-06 23:30:26.492708,1707262226.492708
14.2,66.2,998.9,227.1,0.650746,2.26538,150.91,525.346,676.256,231.902,2024-02-06 23:29:54.789494,1707262194.789494
14.1,66.3,998.9,227.1,0.691162,2.2626,160.524,525.494,686.017,232.252,2024-02-06 23:29:23.137561,1707262163.137561
14.2,65.5,998.9,226.8,0.663283,2.23231,154.197,518.956,673.153,232.475,2024-02-06 23:28:51.469455,1707262131.469455
14.3,65.4,998.9,227.2,0.653014,2.23564,152.108,520.754,672.862,232.932,2024-02-06 23:28:19.774049,1707262099.774049
14.3,66.2,998.9,226.7,0.712464,2.24125,165.932,521.985,687.918,232.899,2024-02-06 23:27:48.256670,1707262068.25667
14.2,66.0,998.8,227.3,0.672203,2.22335,156.82,518.693,675.513,233.293,2024-02-06 23:27:16.568729,1707262036.568729
14.2,66.1,998.9,226.8,0.64646,2.21105,150.035,513.156,663.191,232.087,2024-02-06 23:26:44.988660,1707262004.98866
14.2,66.1,998.9,226.4,0.648491,2.18089,151.039,507.947,658.986,232.908,2024-02-06 23:26:13.350563,1707261973.350563
14.1,65.9,998.9,226.6,0.708217,2.08196,165.108,485.371,650.479,233.132,2024-02-06 23:25:41.720665,1707261941.720665
14.1,65.6,998.9,226.6,0.557114,1.3967,129.468,324.579,454.047,232.39,2024-02-06 23:25:10.153694,1707261910.153694
14.2,65.4,998.9,226.5,0.672877,1.76435,155.182,406.902,562.083,230.624,2024-02-06 23:24:38.703631,1707261878.703631
14.2,65.3,999.1,225.1,0.635448,1.79486,145.997,412.377,558.374,229.754,2024-02-06 23:24:06.977784,1707261846.977784
14.2,65.4,998.9,226.8,0.663567,1.8175,152.283,417.1,569.382,229.491,2024-02-06 23:23:35.231523,1707261815.231523
14.3,65.4,998.9,226.7,0.681458,2.04901,156.734,471.268,628.001,229.998,2024-02-06 23:23:03.674758,1707261783.674758
