bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
15.0,65.1,1001.4,206.2,0.669665,2.16246,155.712,502.821,658.533,232.522,2023-12-29 12:48:46.182764,1703854126.182764
15.0,64.8,1001.3,207.0,0.698405,2.17792,162.341,506.247,668.589,232.446,2023-12-29 12:48:14.518384,1703854094.518384
15.0,65.1,1001.3,206.4,0.647886,2.20334,151.18,514.135,665.314,233.343,2023-12-29 12:47:42.431708,1703854062.431708
14.8,65.5,1001.4,205.9,0.646239,2.20102,150.675,513.182,663.857,233.156,2023-12-29 12:47:10.754338,1703854030.754338
14.9,65.4,1001.4,206.3,0.664752,2.18805,155.3,511.174,666.474,233.621,2023-12-29 12:46:39.237175,1703853999.237175
14.9,65.5,1001.3,206.5,0.650415,2.16528,151.441,504.159,655.599,232.837,2023-12-29 12:46:07.475658,1703853967.475658
15.0,65.1,1001.4,206.0,0.665933,2.17754,155.642,508.935,664.577,233.721,2023-12-29 12:45:35.781272,1703853935.781272
15.0,65.0,1001.4,205.6,0.69983,2.19297,163.158,511.267,674.425,233.139,2023-12-29 12:45:04.211506,1703853904.211506
15.0,64.7,1001.4,206.1,0.644087,2.176,150.113,507.146,657.259,233.063,2023-12-29 12:44:32.397813,1703853872.397813
14.9,65.2,1001.5,205.4,0.653006,2.1553,152.268,502.571,654.838,233.179,2023-12-29 12:44:00.716670,1703853840.71667
14.9,65.4,1001.4,206.1,0.728935,2.19226,168.362,506.345,674.707,230.97,2023-12-29 12:43:29.035326,1703853809.035326
15.0,65.1,1001.4,205.9,0.714523,2.16012,163.618,494.645,658.263,228.989,2023-12-29 12:42:57.325366,1703853777.325366
14.9,65.5,1001.4,205.9,0.678487,2.14516,155.697,492.265,647.962,229.477,2023-12-29 12:42:25.662913,1703853745.662913
14.9,65.7,1001.5,205.2,0.646354,2.13427,148.436,490.139,638.575,229.651,2023-12-29 12:41:53.779369,1703853713.779369
14.9,65.5,1001.4,206.2,0.654318,2.16958,151.349,501.84,653.189,231.307,2023-12-29 12:41:22.289067,1703853682.289067
14.9,65.6,1001.5,205.1,0.675646,2.16052,155.897,498.514,654.411,230.738,2023-12-29 12:40:50.600562,1703853650.600562
15.0,65.5,1001.4,205.7,0.677395,2.13798,157.075,495.757,652.832,231.881,2023-12-29 12:40:18.880345,1703853618.880345
14.9,65.7,1001.6,204.1,0.653218,2.12794,151.227,492.641,643.868,231.511,2023-12-29 12:39:47.191653,1703853587.191653
14.9,65.7,1001.4,205.6,0.688178,2.14459,159.149,495.962,655.111,231.261,2023-12-29 12:39:15.526298,1703853555.526298
15.0,65.1,1001.5,205.1,0.647362,2.14639,149.89,496.975,646.865,231.54,2023-12-29 12:38:43.869256,1703853523.869256
15.1,64.5,1001.5,204.9,0.64913,2.13588,150.38,494.808,645.189,231.665,2023-12-29 12:38:12.347746,1703853492.347746
15.1,65.2,1001.5,204.8,0.645512,2.13582,149.66,495.184,644.844,231.847,2023-12-29 12:37:40.745045,1703853460.745045
15.2,65.3,1001.6,204.1,0.645812,2.12668,148.973,490.571,639.544,230.675,2023-12-29 12:37:09.113852,1703853429.113852
15.2,65.2,1001.6,204.4,0.672306,2.15035,155.038,495.884,650.922,230.606,2023-12-29 12:36:37.471423,1703853397.471423
15.0,65.2,1001.5,204.9,0.693933,2.12539,160.063,490.245,650.308,230.661,2023-12-29 12:36:05.814775,1703853365.814775
15.1,65.2,1001.5,205.0,0.662382,2.11936,152.535,488.051,640.586,230.282,2023-12-29 12:35:34.160164,1703853334.160164
15.2,65.0,1001.5,204.6,0.660172,2.13814,152.013,492.335,644.348,230.263,2023-12-29 12:35:02.407244,1703853302.407244
15.2,65.1,1001.6,204.4,0.664812,2.15145,153.557,496.936,650.493,230.978,2023-12-29 12:34:30.677373,1703853270.677373
15.1,65.2,1001.5,204.8,0.687356,2.13526,159.388,495.137,654.525,231.886,2023-12-29 12:33:57.204709,1703853237.204709
15.0,65.1,1001.5,204.7,0.700082,2.13405,162.328,494.822,657.15,231.87,2023-12-29 12:33:25.617095,1703853205.617095
15.0,65.0,1001.6,204.4,0.680311,2.15087,158.318,500.536,658.854,232.714,2023-12-29 12:32:54.042998,1703853174.042998
15.1,65.0,1001.5,205.1,0.680715,2.1386,159.266,500.366,659.632,233.969,2023-12-29 12:32:22.381384,1703853142.381384
