bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
14.6,53.9,1008.1,149.8,0.413128,0.37005,95.4058,85.4576,180.863,230.935,2023-11-25 23:59:56.630432,1700956796.630432
14.6,54.0,1008.1,149.9,0.384536,0.489764,88.3715,112.554,200.926,229.813,2023-11-25 23:59:53.860867,1700956793.860867
14.6,54.0,1008.1,149.8,0.415269,0.451667,95.9714,104.383,200.355,231.107,2023-11-25 23:59:51.243269,1700956791.243269
14.6,54.0,1008.1,149.8,0.382021,0.44746,88.1128,103.206,191.319,230.649,2023-11-25 23:59:48.556341,1700956788.556341
14.6,54.1,1008.1,149.7,0.375273,0.559958,86.5551,129.152,215.707,230.646,2023-11-25 23:59:45.811653,1700956785.811653
14.6,54.1,1008.1,149.7,0.378297,0.414472,87.3356,95.6871,183.023,230.865,2023-11-25 23:59:43.150017,1700956783.150017
14.6,54.1,1008.1,149.7,0.352972,0.486379,81.4191,112.192,193.611,230.667,2023-11-25 23:59:40.641029,1700956780.641029
14.6,54.1,1008.1,149.9,0.365848,0.431262,84.4572,99.5584,184.016,230.853,2023-11-25 23:59:37.727625,1700956777.727625
14.6,54.1,1008.1,149.7,0.395212,0.411898,91.1864,95.0365,186.223,230.728,2023-11-25 23:59:35.036299,1700956775.036299
14.6,54.1,1008.1,149.9,0.408085,0.556282,94.2296,128.449,222.679,230.906,2023-11-25 23:59:32.310647,1700956772.310647
14.6,54.2,1008.1,149.9,0.354669,0.402142,81.6499,92.579,174.229,230.215,2023-11-25 23:59:29.610914,1700956769.610914
14.6,54.1,1008.1,149.9,0.434953,0.404009,100.337,93.1992,193.537,230.686,2023-11-25 23:59:26.983537,1700956766.983537
14.6,54.1,1008.1,149.8,0.362348,0.452355,83.7269,104.525,188.251,231.067,2023-11-25 23:59:24.312996,1700956764.312996
14.6,54.1,1008.1,150.0,0.406171,0.442777,93.7662,102.217,195.983,230.854,2023-11-25 23:59:21.602014,1700956761.602014
14.6,54.2,1008.1,150.0,0.363156,0.458487,83.8594,105.873,189.733,230.919,2023-11-25 23:59:18.870314,1700956758.870314
14.5,54.2,1008.1,149.9,0.417786,0.34597,96.5994,79.9942,176.594,231.218,2023-11-25 23:59:16.161907,1700956756.161907
14.5,54.2,1008.0,150.3,0.395336,0.601984,91.1648,138.818,229.983,230.601,2023-11-25 23:59:13.481108,1700956753.481108
14.5,54.1,1008.1,149.8,0.37567,0.600783,86.7266,138.696,225.423,230.859,2023-11-25 23:59:10.872182,1700956750.872182
14.6,54.1,1008.1,149.9,0.408735,0.387024,94.3863,89.3727,183.759,230.923,2023-11-25 23:59:08.070753,1700956748.070753
14.6,54.1,1008.1,150.0,0.382872,0.451403,88.5185,104.363,192.881,231.196,2023-11-25 23:59:05.368950,1700956745.36895
14.6,54.1,1008.1,149.9,0.377287,0.431773,87.3269,99.9384,187.265,231.46,2023-11-25 23:59:02.866751,1700956742.866751
14.6,54.0,1008.1,149.9,0.390707,0.360356,90.363,83.3436,173.707,231.281,2023-11-25 23:59:00.096471,1700956740.096471
14.6,54.0,1008.1,149.9,0.35901,0.467844,82.9136,108.049,190.963,230.951,2023-11-25 23:58:57.441529,1700956737.441529
14.6,54.0,1008.1,149.8,0.350529,0.460587,81.0541,106.503,187.557,231.233,2023-11-25 23:58:54.758896,1700956734.758896
14.6,54.0,1008.1,150.1,0.396712,0.451776,91.6896,104.416,196.106,231.124,2023-11-25 23:58:51.982716,1700956731.982716
14.6,54.0,1008.1,149.9,0.382745,0.452665,88.6546,104.85,193.505,231.628,2023-11-25 23:58:49.315667,1700956729.315667
14.6,53.9,1008.1,150.0,0.393849,0.482637,91.1199,111.662,202.782,231.358,2023-11-25 23:58:46.616687,1700956726.616687
14.6,53.9,1008.1,150.0,0.385164,0.366801,88.9128,84.6738,173.587,230.844,2023-11-25 23:58:43.959687,1700956723.959687
14.6,53.9,1008.1,150.0,0.380296,0.478726,87.9212,110.677,198.599,231.191,2023-11-25 23:58:41.321050,1700956721.32105
14.6,53.9,1008.1,150.0,0.370554,0.412069,85.7204,95.3241,181.045,231.331,2023-11-25 23:58:38.543261,1700956718.543261
14.6,53.9,1008.1,150.0,0.399676,0.441261,92.4023,102.017,194.419,231.193,2023-11-25 23:58:35.834893,1700956715.834893
14.6,53.9,1008.1,149.8,0.379767,0.453011,87.8799,104.829,192.709,231.405,2023-11-25 23:58:33.137064,1700956713.137064
14.6,53.8,1008.1,150.1,0.391425,0.4856,90.6179,112.42,203.038,231.508,2023-11-25 23:58:30.457274,1700956710.457274
14.6,53.9,1008.1,149.8,0.3904,0.473103,90.1628,109.263,199.426,230.95,2023-11-25 23:58:27.798123,1700956707.798123
14.7,53.9,1008.1,149.8,0.427993,0.424135,99.104,98.2107,197.315,231.555,2023-11-25 23:58:25.152175,1700956705.152175
14.7,54.0,1008.1,149.9,0.393073,0.460065,90.6971,106.155,196.852,230.739,2023-11-25 23:58:22.473562,1700956702.473562
14.7,54.0,1008.1,149.9,0.394756,0.359244,91.2002,82.9959,174.196,231.029,2023-11-25 23:58:19.813761,1700956699.813761
14.6,54.0,1008.1,150.0,0.449692,0.32659,103.763,75.3581,179.121,230.742,2023-11-25 23:58:17.111600,1700956697.1116
