bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
12.9,53.2,1027.7,-11.9,0.722932,0.868746,168.566,202.566,371.132,233.17,2024-01-26 23:59:48.479046,1706313588.479046
12.8,53.4,1027.7,-12.2,0.729826,0.840135,170.116,195.829,365.945,233.092,2024-01-26 23:59:16.795985,1706313556.795985
12.9,53.4,1027.7,-11.9,0.716591,0.848008,167.149,197.803,364.952,233.256,2024-01-26 23:58:45.024106,1706313525.024106
12.8,53.9,1027.7,-11.9,0.722106,0.894107,168.283,208.367,376.65,233.045,2024-01-26 23:58:13.344229,1706313493.344229
12.8,53.7,1027.7,-11.9,0.710265,0.806536,165.63,188.08,353.709,233.194,2024-01-26 23:57:41.786793,1706313461.786793
12.7,53.6,1027.6,-11.7,0.723535,0.806735,168.621,188.011,356.633,233.052,2024-01-26 23:57:10.103711,1706313430.103711
12.8,53.7,1027.6,-11.8,0.731596,0.804778,170.404,187.45,357.854,232.921,2024-01-26 23:56:37.195358,1706313397.195358
12.8,53.5,1027.6,-11.5,0.721318,0.807774,167.879,188.0,355.879,232.739,2024-01-26 23:56:05.581090,1706313365.58109
12.9,53.0,1027.6,-11.6,0.71361,0.852203,166.207,198.487,364.695,232.911,2024-01-26 23:55:33.933503,1706313333.933503
12.9,53.3,1027.6,-11.5,0.712682,0.78252,165.71,181.948,347.658,232.516,2024-01-26 23:55:02.348419,1706313302.348419
12.9,53.2,1027.6,-11.4,0.330592,0.399333,76.8881,92.8756,169.764,232.577,2024-01-26 23:54:30.661674,1706313270.661674
12.9,52.9,1027.6,-11.7,0.726951,0.792573,169.531,184.835,354.365,233.208,2024-01-26 23:53:59.013732,1706313239.013732
12.9,53.5,1027.6,-11.7,0.720418,0.813652,167.813,189.531,357.343,232.938,2024-01-26 23:53:27.415314,1706313207.415314
12.9,53.1,1027.6,-11.8,0.726598,0.822623,169.529,191.934,361.463,233.319,2024-01-26 23:52:55.763169,1706313175.763169
12.9,53.3,1027.6,-11.8,0.726278,0.79781,168.949,185.589,354.538,232.623,2024-01-26 23:52:24.085588,1706313144.085588
12.8,53.3,1027.6,-11.7,0.731612,0.8154,170.016,189.487,359.503,232.386,2024-01-26 23:51:52.457721,1706313112.457721
12.9,53.5,1027.6,-11.7,0.716106,0.823641,166.718,191.754,358.471,232.812,2024-01-26 23:51:20.839064,1706313080.839064
12.9,53.3,1027.6,-11.6,0.6993,0.832208,162.63,193.539,356.169,232.561,2024-01-26 23:50:49.166692,1706313049.166692
12.8,53.3,1027.6,-11.3,0.712623,0.793734,166.038,184.936,350.973,232.995,2024-01-26 23:50:17.448259,1706313017.448259
12.9,53.2,1027.6,-11.2,0.711925,0.812508,165.63,189.03,354.66,232.65,2024-01-26 23:49:45.842548,1706312985.842548
