bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
13.0,61.0,1026.4,-1.2,0.729843,2.40493,168.864,556.43,725.294,231.37,2024-01-30 23:59:51.491964,1706659191.491964
13.1,61.2,1026.3,-0.8,0.713326,2.39622,165.518,556.012,721.531,232.037,2024-01-30 23:59:19.785272,1706659159.785272
13.0,61.4,1026.4,-1.2,0.741076,2.366,174.187,556.119,730.306,235.046,2024-01-30 23:58:48.187093,1706659128.187093
13.0,61.4,1026.3,-1.1,0.724364,2.38924,170.171,561.29,731.461,234.924,2024-01-30 23:58:14.686164,1706659094.686164
13.0,61.1,1026.4,-1.3,0.723312,2.39729,169.685,562.392,732.076,234.594,2024-01-30 23:57:43.128986,1706659063.128986
13.1,61.1,1026.3,-1.2,0.726402,2.38462,170.497,559.704,730.201,234.714,2024-01-30 23:57:11.457270,1706659031.45727
13.1,60.9,1026.3,-1.0,0.722501,2.36587,169.306,554.404,723.711,234.334,2024-01-30 23:56:39.749974,1706658999.749974
13.1,61.1,1026.3,-0.9,0.743523,2.3658,174.214,554.328,728.542,234.309,2024-01-30 23:56:08.060802,1706658968.060802
13.1,61.0,1026.3,-0.7,0.722111,2.41848,169.339,567.148,736.487,234.506,2024-01-30 23:55:36.413320,1706658936.41332
13.1,61.3,1026.4,-1.3,0.72831,2.3928,170.531,560.265,730.796,234.146,2024-01-30 23:55:04.498452,1706658904.498452
13.0,61.2,1026.3,-1.1,0.726275,2.40105,170.004,562.029,732.033,234.076,2024-01-30 23:54:32.775061,1706658872.775061
13.0,61.3,1026.4,-1.6,0.723898,2.37246,169.939,556.948,726.887,234.755,2024-01-30 23:54:01.083857,1706658841.083857
13.0,61.1,1026.4,-1.5,0.747359,2.3873,174.34,556.897,731.237,233.275,2024-01-30 23:53:29.429044,1706658809.429044
13.0,61.1,1026.4,-1.5,0.73027,2.40697,170.625,562.379,733.004,233.646,2024-01-30 23:52:57.729477,1706658777.729477
13.1,61.3,1026.4,-1.7,0.724619,2.39865,169.219,560.155,729.374,233.529,2024-01-30 23:52:26.025002,1706658746.025002
13.0,61.4,1026.4,-1.4,0.732338,2.38431,171.17,557.288,728.458,233.731,2024-01-30 23:51:54.360031,1706658714.360031
13.1,61.1,1026.4,-1.3,0.720681,2.37002,168.462,554.001,722.462,233.753,2024-01-30 23:51:22.623384,1706658682.623384
13.1,60.9,1026.4,-1.5,0.722967,2.39521,169.567,561.781,731.348,234.544,2024-01-30 23:50:51.007641,1706658651.007641
13.0,61.2,1026.4,-1.7,0.72561,2.40897,169.904,564.069,733.974,234.153,2024-01-30 23:50:19.355747,1706658619.355747
13.0,61.2,1026.4,-1.5,0.730124,2.3756,170.683,555.351,726.034,233.773,2024-01-30 23:49:46.982771,1706658586.982771
